article_title,author_number,author_human_id,author_first_name,author_last_name,author_affiliation,year,paper_id,mean_overall_score_for_presentation,mean_acceptance_rate
"Incapacity: Wittgenstein, Anxiety, and Performance Behavior",1,Josphine---Bassler---Holy Family University at Monsignor Bonner/Archbishop Prendergast Catholic High,Josphine,Bassler,Holy Family University at Monsignor Bonner/Archbishop Prendergast Catholic High,2000,2000---1,3,0
Highway 12,1,Danilo---Rohrich---Nebraska Indian Community College,Danilo,Rohrich,Nebraska Indian Community College,2000,2000---2,3,0.5
Highway 12,2,Soo---Younkin---St. Dominic-Jackson Memorial Hospital,Soo,Younkin,St. Dominic-Jackson Memorial Hospital,2000,2000---2,3,0.5
Highway 12,3,Kent---Wissler---University of Phoenix at La Bellasera Hotel & Suites,Kent,Wissler,University of Phoenix at La Bellasera Hotel & Suites,2000,2000---2,3,0.5
Highway 12,4,Jimmy---Gillins---Brightwood College - Bakersfield,Jimmy,Gillins,Brightwood College - Bakersfield,2000,2000---2,3,0.5
Korpuslinguistik,1,Libbie---Hoeft---Pinnacle College,Libbie,Hoeft,Pinnacle College,2000,2000---3,2.8333333333333335,0.3333333333333333
Korpuslinguistik,2,Russell---Buczek---New England College at Center for Life Management,Russell,Buczek,New England College at Center for Life Management,2000,2000---3,2.8333333333333335,0.3333333333333333
Korpuslinguistik,3,Ricki---Scharmann---Franklin County High School,Ricki,Scharmann,Franklin County High School,2000,2000---3,2.8333333333333335,0.3333333333333333
Korpuslinguistik,4,Jenni---Parpan---Defense Institute of Security Assistance Management,Jenni,Parpan,Defense Institute of Security Assistance Management,2000,2000---3,2.8333333333333335,0.3333333333333333
Korpuslinguistik,5,Carol---Porzio---ECPI University - Charlotte,Carol,Porzio,ECPI University - Charlotte,2000,2000---3,2.8333333333333335,0.3333333333333333
Korpuslinguistik,6,Silvana---Fruth---Ferris State University at Southeast - Lansing,Silvana,Fruth,Ferris State University at Southeast - Lansing,2000,2000---3,2.8333333333333335,0.3333333333333333
Navigating the Future: An Ethnography of Change in Papua New Guinea,1,Brianne---Mccarren---Paul Mitchell The School Rhode Island,Brianne,Mccarren,Paul Mitchell The School Rhode Island,2000,2000---4,3.75,0.5
Navigating the Future: An Ethnography of Change in Papua New Guinea,2,Shyla---Kahen---National Louis University at Manor Hill Elementary School,Shyla,Kahen,National Louis University at Manor Hill Elementary School,2000,2000---4,3.75,0.5
Navigating the Future: An Ethnography of Change in Papua New Guinea,3,Hortensia---Kellon---Fredrick and Charles Beauty College,Hortensia,Kellon,Fredrick and Charles Beauty College,2000,2000---4,3.75,0.5
"Autobiographical Voices: Race, Gender, Self-Portraiture",1,Patti---Elizabeth---Hawaii Campus,Patti,Elizabeth,Hawaii Campus,2000,2000---5,3.4,0.4
"Autobiographical Voices: Race, Gender, Self-Portraiture",2,Inger---Ellingboe---Lake Land College at Kluthe Center for Higher Education,Inger,Ellingboe,Lake Land College at Kluthe Center for Higher Education,2000,2000---5,3.4,0.4
"Bluestocking Feminism and British-German Cultural Transfer, 1750-1837",1,Lelia---Eichelmann---Shadow Ridge High School,Lelia,Eichelmann,Shadow Ridge High School,2000,2000---6,3.5,0.3333333333333333
"Bluestocking Feminism and British-German Cultural Transfer, 1750-1837",2,Maurita---Perez---Helene Fuld College of Nursing,Maurita,Perez,Helene Fuld College of Nursing,2000,2000---6,3.5,0.3333333333333333
"Bluestocking Feminism and British-German Cultural Transfer, 1750-1837",3,Eliza---Zamor---Grand View University at Camp Dodge,Eliza,Zamor,Grand View University at Camp Dodge,2000,2000---6,3.5,0.3333333333333333
Absorbing and Developing Qualified Fighter Pilots: The Role of the Advanced Simulator,1,"Mozell---Tonner---Nichols College - Auburn, MA",Mozell,Tonner,"Nichols College - Auburn, MA",2000,2000---7,2.25,0
Absorbing and Developing Qualified Fighter Pilots: The Role of the Advanced Simulator,2,Otis---Ilasin---Liberty County Satellite,Otis,Ilasin,Liberty County Satellite,2000,2000---7,2.25,0
"Of Elephants and Toothaches: Ethics, Politics, and Religion in Krzysztof Kieslowski's 'Decalogue'",1,Jacelyn---Timonere---Shelton State Community College,Jacelyn,Timonere,Shelton State Community College,2000,2000---8,2.25,0.25
"Of Elephants and Toothaches: Ethics, Politics, and Religion in Krzysztof Kieslowski's 'Decalogue'",2,Leola---Raterman---Pacific Oaks College -  Pacific Oaks College-San Jose Campus,Leola,Raterman,Pacific Oaks College -  Pacific Oaks College-San Jose Campus,2000,2000---8,2.25,0.25
Prisons in the Late Ottoman Empire: Microcosms of Modernity,1,Sandra---Alkana---Governors State University at Oak Forest Village Hall,Sandra,Alkana,Governors State University at Oak Forest Village Hall,2000,2000---9,2.5,0.25
Prisons in the Late Ottoman Empire: Microcosms of Modernity,2,Kacy---Hollman---Garden City District Administration Building,Kacy,Hollman,Garden City District Administration Building,2000,2000---9,2.5,0.25
Las regiones de México: breviario geográfico e histórico,1,Carlie---Cocklin---Chattahoochee Valley Community College,Carlie,Cocklin,Chattahoochee Valley Community College,2000,2000---10,4,0.4
Las regiones de México: breviario geográfico e histórico,2,Paris---Spoden---Wilkes University at The Shoppes at Crossroads,Paris,Spoden,Wilkes University at The Shoppes at Crossroads,2000,2000---10,4,0.4
Las regiones de México: breviario geográfico e histórico,3,Arie---Lampshire---VIC Culinary Arts Kitchen at Skoby's,Arie,Lampshire,VIC Culinary Arts Kitchen at Skoby's,2000,2000---10,4,0.4
Pillars and Shadows: Statebuilding as peacebuilding in Solomon Islands,1,Reginia---Riddel---Lesley University at Masconomet Regional Middle School,Reginia,Riddel,Lesley University at Masconomet Regional Middle School,2000,2000---11,2.2,0
Pillars and Shadows: Statebuilding as peacebuilding in Solomon Islands,2,Karole---Gorczynski---More Tech Institute,Karole,Gorczynski,More Tech Institute,2000,2000---11,2.2,0
Pillars and Shadows: Statebuilding as peacebuilding in Solomon Islands,3,Karina---Miske---Magdalen College,Karina,Miske,Magdalen College,2000,2000---11,2.2,0
Pillars and Shadows: Statebuilding as peacebuilding in Solomon Islands,4,Darcel---Buffy---South Park Elementary School,Darcel,Buffy,South Park Elementary School,2000,2000---11,2.2,0
