paper_id,authors,author_ids,title,year,committee_presentation_decision,committee_publication_decision,abstract,body
2015/1,"Ava Woolhouse,Augustus Fleisner,Ramona Fischer","1,2,3","Mädchen auf dem Weg ins Erwerbsleben: Wünsche, Werte, Berufsbilder: Forschungsergebnisse zum Girls''Day – Mädchen-Zukunftstag 2013",2015,Accept,Reject,"You couldn't go instead of him, could you? I haven't ever seen one of these before. Tom told Mary she could do that. Tom and Mary said they love that kind of work. Feeling the house shake, I ran out into the yard at the back of the house. Mennad doesn't want to live like this anymore. Layla was trying to figure out something to do. They say it's very good. Tom said he didn't like Mary's dress. I think Tom is OK. I don't really plan to do that. This package has been left here by him. Tom took risks. This is what I'll do. What are you getting upset about? There's only one problem with you. Tom is just a platonic friend. It's time you went to bed. Whether the medicine will work or not is uncertain. Mary didn't want anybody to find out about her and Tom.",NA
2015/2,Gretchen Ryen,4,"Open Source, Free Software E Open Format Nei Processi Di Ricerca Archeologica: Atti del II Workshop (Genova, 11 Maggio 2007)",2015,Accept,Accept,"About one third of the earth's surface is land. Tom doesn't plan to do that here. Sami was behind the register. Shut up, dumbass! We have to go to Boston. Tom is the strongest person I know. I brought you some Belgian chocolates. Tom is planning on staying for a few days. I don't want to stay in Boston any longer.",NA
2015/3,"Shirl Hundley,Arlen Sol,Eli Sikes,Ann Kappen,Rubi Tryninewski,Blanch Neece,Laureen Marsala","5,6,7,8,9,10,11",Bits of Mountain Speech,2015,Reject,Reject,"Tom Jackson is a rock legend. There's the waitress. I knew I was being followed. It is worthwhile considering what it is that makes people happy. You had plenty of time. Tom screamed like a woman. No, a carrot is not important enough to need an exclamation mark after it.",NA
2015/4,"Alyce Seek,Margert Kissick,Ligia Kisling,Tisa Pezzullo","12,13,14,15",The TRIPS Agreement Implementation in Brazil: Patents in the Pharmaceutical Area,2015,Accept,Accept,"Worse still was the mean-spirited stuff that it was OK for my friends to know about, but the thought of anyone else knowing about it made me itch with shame. See you next year. These baby swans are cute. Sami was very embarrassed when his father started seeing women. This is a desert flower. The cat is meowing on the roof. I didn't think Tom was so selfish. Tom spent all his money on a car just to impress girls. Mary doesn't yet know what she's going to do.",NA
2015/5,"Tamela Surma,Ronda Rollow,Emelia Stanojevic,Tosha Govin,Marissa Naasz,Kieth Ludke,Juli Dillion","16,17,18,19,20,21,22","Itinerarios filosóficos: correspondencia José Gaos-Alfonso Reyes, 1939-1959 y textos de José Gaos sobre Alfonso Reyes, 1942-1968",2015,Reject,Reject,"He ran as a candidate, independent of any party. He didn't believe them for a second. She locked a door. Is he always like that? Bosnia and Herzegovina is called ""Bosna i Hercegovina"" in Bosnian. We shouldn't do anything about that right now. Tom didn't come here alone tonight, did he? I'm against capital punishment. This is kind of embarrassing. Tom doesn't get tired. I have been in Kabylie for about four years. Tom told me that he wasn't in Boston. He accepted the verdict without question. I feel your disgust on that one. Neither Tom nor Mary has a dog. I wish I'd called Tom. For how long have you been studying Esperanto? My brother is a moron. Tom said he'd never want to do that alone. I'm not as old as you, of course.",NA
2015/6,"Willis Jung,Lela Alattar,Randa Remo,Noelle Mattler,Candi Diederich,Donna Gelo,Tobie Cotilla","23,24,25,26,27,28,29",Yuendumu: legacy of a longitudinal growth study in Central Australia,2015,Reject,Reject,"He's finished every task he's ever taken up. There I met a very fascinating lady. Tom had to stay in bed. Tom's dog is still waiting for Tom just outside the front door. She is covered in confusion. I will bring my children up in such a way that they will be protected from superstition. Let's not even worry about that today. You can park behind the hotel. I shouldn't have told you that. He's making progress. Tom says I'm very gullible. I often run into her at the supermarket. You don't think Tom has to do that today, do you? You are stupid, and so is he.",NA
2015/7,"Adolph Bragg,Linwood Chebret,Kandis Contento,Luann Mcdearman","30,31,32,33",Sozialisation von Jugendlichen in geschlechtsuntypischen Berufslehren,2015,Reject,Reject,"It's not our will that makes us act, but our imagination. Tom is too young to retire, isn't he? Your opponents are an illusion. There are no distinct entities of ""us"" versus ""them."" ""What do you want to talk about, Mike?"" ""Whatever you like."" I love Fadil so much. You have a gum infection. Tom is a useful idiot. We have dealt with this store for 16 years.",NA
2015/8,"Sau Prucnal,Lloyd Brodtmann,Natalie Dugal,Eura Chrusciel,Kristel Ziebell","34,35,36,37,38",Intentos de integración en el marco de la crisis latinoamericana,2015,Reject,Reject,Tom says Mary may forget to do that if you don't remind her. Tom seems sincere. I think that this picture was taken about three months ago. This is by far the best hotel in town. Tom said he doesn't know where Mary went to kindergarten. Silvio Santos is a famous Brazilian TV host and entrepreneur. Tom seemed to be homesick.,NA
2015/9,"Damien Ridders,Georgiana Ransier,Senaida Tiro","39,40,41",Shakespeare's History Plays: Rethinking Historicism,2015,Reject,Reject,I was in London. I'll be waiting for her. Where do you get off saying that? I want to kill her. Tom and Mary weren't happy with what they saw. Maybe we should ask Tom. Water is much needed. Who taught you how to use chopsticks? Facebook is blocked in China. I'm taking a French class this semester.,NA
2015/10,"Helene Chimento,Renetta Rufer,Patti Iler,Martha Walburn,Gina Silquero","42,43,44,45,46",The Summer People,2015,Reject,Reject,"Tom looked drunk. We both looked at them. She has lived alone ever since her husband died. Tom asked me if I wanted to go to Australia with Mary. He knows that we trust him. I was lucky that I was able to find a good babysitter. Tom said that he didn't have many opportunities to do that. I didn't think Tom would still be downstairs. Tom had a cold, so he stayed in bed. You like arguing with me, don't you? I sometimes think that.",NA
2015/11,"Brenton Landherr,Douglass Teagues","47,48",Evaluating the California Mental Health Services Authority's Student Mental Health Initiative: Year 1 Findings,2015,Reject,Reject,"Tom said he didn't want to watch TV. You beat me to it. Tom was surprised that Mary remembered what he'd said to her. Tom was going to do that anyway. Dan likes you more than anybody else. There were a lot of people in the mosque. Compare your sentence with the one on the blackboard. I organized a marriage ceremony last month. She could not help worrying about her son. Does anybody here want to do that? Mary won't likely be as careful as she should be. Mary, you poor child, where have you been? What happened to you? Let's go visit the Jacksons. Sami was disrespecting his teacher. You're still young. This is Tom's first year teaching. Reading your letter made me happy. ""There's a hair in my soup."" ""It looks like your hair."" I'm afraid I have bad news. Fight with all your might.",NA
2015/12,"Suzanne Gomoran,Delilah Feliz,Jerold Garski,Elna Hohlstein","49,50,51,52",Real Life Cryptology: Ciphers and Secrets in Early Modern Hungary,2015,Reject,Accept,He blamed her for imagining that she was sick. They could've killed you. Layla turned herself in. Sami is going to skip school. I don't want to ask anyone for directions. The mayor acknowledged her services to the city. They were always good to their kids. I wanted to practice speaking French with native speakers.,NA
