paper_id,authors,author_ids,title,year,committee_presentation_decision,committee_publication_decision,abstract,body
2015/1,"Francesca Geisinsky,Raymon Gilpatrick,Victoria Wohlers,Dannette Debenedetti,Johnathan Mcmulen,Darla Chitwood","1,2,3,4,5,6",Plurinacionalidad y Vivir Bien/Buen Vivir: Dos conceptos leídos desde Bolivia y Ecuador post-constituyentes,2015,Reject,Reject,"Each country is in the image of its inhabitants. Tell me about your teacher. I prefer to drink coke instead of coffee. I thought you were going to be able to do that. Love moves the world. Tom didn't do that. Mary did. Tom left the back door open. ""So while we are worried about numerous ecosystems around the world, we really need to be putting special attention on our delta systems and the wetlands and all the other ecosystems they support,"" she added. Tom honked the horn impatiently. I'll never be like Tom. Mary says she won't tell Tom. We're not of this opinion. Tom still can't drive very well. I'm tired of him! I think that Tom doesn't live very near the school he goes to. You can't do that in Australia. Tom was sending her mixed signals. I'd cut down those trees if I were you.",NA
2015/2,"Elfrieda Loxton,Dina Dage,Sibyl Locatelli,Gena Freshwater,Carie Shubrooks","7,8,9,10,11",Disciplining Interdisciplinarity: Integration and Implementation Sciences for Researching Complex Real-World Problems,2015,Accept,Reject,There have been hitches. I sent Tom a couple of messages. I haven't seen his place. He was killed by his own aunt. It's unsafe to be on the streets at night. You don't have to be a genius to know who said that. Layla put everything Sami had given her in a box. Mary asked Tom if she could go home. It is 50 kilometers to Paris.,NA
2015/3,"Asia Smeathers,Ashli Kluemper,Katelynn Dangerfield","12,13,14",Fact and Fiction: Literary and Scientific Cultures in Germany and Britain,2015,Reject,Reject,"Avoid the temptation to skip lunch. Clean your lips with the napkin. I'm curious about what you'd have done in this situation. The bouncer refused to let Tom into the club. If Mennad didn't wear a helmet, he would have had a concussion. We shouldn't fight. Sami started to have feelings for Layla. That's very dangerous. Do you think he was only making believe that he was sick? Sami has been doing this for years. She makes sure that her family eats a balanced diet. The long-range forecast says we will have a mild winter. I'll do that the way you showed me. Do you think that she lied? I take my coffee black. I believe he is sick. I know Tom should do that outside. People here don't do that. Tom panicked when he heard the news.",NA
2015/4,"Dustin Barben,Janeth Zierenberg,Ryann Babicke,Angela Blossomgame","15,16,17,18","La nación y su historia, independencias, relato historiográfico y debates sobre la nación: América Latina, siglo XIX",2015,Reject,Reject,"""Who is there?"" she asked without raising her head. He remained silent. Wouldn't it be great if Tom did that? I wish I had the chance to do that. Only yesterday did I know the fact. This type of violence isn't common in Algeria. It isn't as if a child learning to talk studies. Politicians never acknowledge their own mistakes. Not everything is black and white. Sami insured Layla with three different life insurance company. They said their backs were sore. Tom came on his own. Tom doesn't like to talk about his past. He's on his way to the airport. I cannot breathe pure air. I live in a large city.",NA
2015/5,"Felica Layva,Theda Headly,Deborah Tavolacci,Wilburn Vigor,Reggie Fogelson","19,20,21,22,23",Intersex Narratives: Shifts in the Representation of Intersex Lives in North American Literature and Popular Culture,2015,Reject,Reject,I have a long vacation coming up. Tom is lucky he's able to do that. We know so little about them. Tom won't do it. A fallen fakir is in the mosque. Tom and Mary say they don't have the energy to do that. I'm pretty certain that I can do that. Did you see anyone else other than Tom last night? He's trying to protect his kids.,NA
2015/6,"Queenie Pienta,Joan Wehby","24,25","How Welfare States Care: Culture, Gender and Parenting in Europe",2015,Reject,Accept,Aart is racist. Peanuts are legumes. Mennad was arguing with the taxi driver. Tom said that he himself was an alcoholic. She has fallen in love with me. He can speak both English and French very well. I know Tom is a good baseball player. There is little merit in this plan.,NA
2015/7,"Brenda Bohrman,Bertha Fuhrmann,Vinita Behne","26,27,28",Indigenous Australians and the National Disability Insurance Scheme,2015,Accept,Reject,"French is the language spoken here. Tom says that he also needs to do that. I found my glass in pieces. You're supposed to do it yourselves. We will shut up our store on Saturday. All of a sudden, the enemy bombs came down on us like rain. Did your family come with you? The building has exits on all sides. Mennad still cares. Who owns this truck? I think I've told you that before.",NA
2015/8,"Kamilah Losser,Lanette Daty,Lissette Macugay,Nestor Siemonsma,Suanne Airhart","29,30,31,32,33","Lernprozesse über die Lebensspanne: Bildung erforschen, gestalten und nachhaltig fördern",2015,Accept,Reject,"I don't think I'd like Boston. Layla didn't have a job. Why don't we all sit together? The dentist said I had pulpitis. If Tom and Mary drop by, please give them this document. It has a seepage. What do you want to do for work? Tom hasn't yet resigned. She died peacefully in her sleep. At present a very great number of people are seeking to participate and, depending on circumstances, up to a month ahead is fully booked. You're watching Tatoeba TV. Tom leaned in and kissed Mary's cheek. She said she wasn't tired. I promise I won't forget to do that. Tom and Mary aren't sure what they'll do.",NA
2015/9,Hershel Yellen,34,Beyond NATO: A New Security Architecture for Eastern Europe,2015,Reject,Reject,"My grandfather is over eighty years old, but he is a good walker. I know that Tom isn't allergic to nuts. We'll try not to let that happen. I don't think that Tom knows you're here. The Galilean moons are the four moons of Jupiter that were discovered by Galileo Galilei in the 17th century. I have no appetite. Layla had a criminal history. French is useful. This is Tatoeba. The Prime Minister announced that he would resign within a few weeks. The steamer wound in and out among the islands. Mennad needs to speak up. Novels aren't being read as much as they used to be. What are those numbers?",NA
2015/10,"Tyree Nonemaker,Kathern Lorange","35,36",Out of Work: Unemployment and Government in Twentieth-Century America,2015,Reject,Reject,"Layla is gonna do it again. He says he was absolutely stunned. That's totally crazy. Tom's favorite pastime was solving differential expressions, while Mary preferred sex. Tom and Mary didn't tell John they wouldn't do that. Sami is not a boy anymore. The same is true of professional baseball. You're not seriously considering going, are you? It was actually my fault. She still hasn't paid all her bills. Can you help Layla?",NA
