name,aliases,hash_id,current_affiliation,previous_affiliation,last_degree_affiliation,orcid_url,orcid,author_id,verified
Nakisha Martelles,NA,3cf353107bb978fb855e4dd5eaa47a5c4a4b38a4,Kuyper College,NA,NA,NA,0000-0000-0000-0001,1,FALSE
Andy Swiney,NA,66ba2180a96816cc6cb88fbfcc5295aa27217272,Brooklyn Law School,NA,NA,NA,0000-0000-0000-0002,2,FALSE
Odette Perper,NA,fe052879d8cc548ba3991a769ca1d9cf49b6f358,Cortiva Institute-Colorado,NA,NA,NA,0000-0000-0000-0003,3,FALSE
Erik Kio,NA,f22584ff01c0ce0228dc53a629bedb4f2db3a4fc,Taft Law School,NA,NA,NA,0000-0000-0000-0004,4,FALSE
Latisha Blumstein,NA,05556042bda6f8e4d9f75176fa366c17485abdad,Yeshiva Chemdas Hatorah,NA,NA,NA,0000-0000-0000-0005,5,FALSE
Roger Dohrmann,NA,48ba4ebaea98debf73d161ff597bc246db2de7bd,Rio Salinas Adult School - Salinas Valley State Prison,NA,NA,NA,0000-0000-0000-0006,6,FALSE
Lavon Mankey,NA,e210795df89f4bd64e3bc70ef01982d8e0f94b4b,Smith College,NA,NA,NA,0000-0000-0000-0007,7,FALSE
Todd Wann,NA,c65fdbc127e2f98bddc48a3d63cbf01fc7266bd3,inlingua Washington DC,NA,NA,NA,0000-0000-0000-0008,8,FALSE
Michael Josselyn,NA,92529dc4d156045e335a02836b8381947f3adb66,Sul Ross State University,NA,NA,NA,0000-0000-0000-0009,9,FALSE
Charis Goyen,NA,d721368e39777bb4d0a37e300f920c1d3c1b8c94,St. Mary's University,NA,NA,NA,0000-0000-0000-0010,10,FALSE
Raye Kosareff,NA,a9cb6a589858373ecb9745191e98bbd0369897cc,Saint Luke's College of Health Sciences,NA,NA,NA,0000-0000-0000-0011,11,FALSE
Bernarda Hatchcock,NA,630bd249718b8749e2fd13d900135b73e30708d4,Brightwood College - Modesto Campus,NA,NA,NA,0000-0000-0000-0012,12,FALSE
Elly Cassani,NA,90ec0a11c73aacd4bd1f7e35fa9515adf52738b0,College of Charleston,NA,NA,NA,0000-0000-0000-0013,13,FALSE
Lakeshia Bon,NA,180b93385fca6e4a22810bced84c4eda744f7875,Merced College,NA,NA,NA,0000-0000-0000-0014,14,FALSE
Dani Mertens,NA,9f7af44329f9998a53a2fc4866aa5d8c8d81d355,FLS International at Chestnut Hill College,NA,NA,NA,0000-0000-0000-0015,15,FALSE
Shelli Younan,NA,2b47bb794e844219403fb539868557ad0d865a56,Olivet College,NA,NA,NA,0000-0000-0000-0016,16,FALSE
Willetta Gawel,NA,210518772bca70385fa1eb32644d961ef3d5be57,Minnesota State University - Moorhead,NA,NA,NA,0000-0000-0000-0017,17,FALSE
Kemberly Ricardez,NA,aea42da3661b63178e3008bcf8d62541ba3aa879,Western Illinois University,NA,NA,NA,0000-0000-0000-0018,18,FALSE
Annette Vanabel,NA,c43266dced978907bdc1a76eb253f3f0f88456cc,Aviation Institute of Maintenance - Philadelphia,NA,NA,NA,0000-0000-0000-0019,19,FALSE
Aracelis Skildum,NA,9a898b75ea7cff27f756ea38bf8d9021c7ed1672,Nicholls State University,NA,NA,NA,0000-0000-0000-0020,20,FALSE
Ina Levitz,NA,bb1fb43afd2ad3cd201dd3654a3497d0f45326a1,Cumberland University,NA,NA,NA,0000-0000-0000-0021,21,FALSE
Theresa Viola,NA,8e56a0ca77dff075fa113f59f6d69d42541f4137,Unitek College - Fremont,NA,NA,NA,0000-0000-0000-0022,22,FALSE
Sharla Gettenberg,NA,a04b143f3370a3d57610d0326d004db4652f7075,Keith & Associates,NA,NA,NA,0000-0000-0000-0023,23,FALSE
Youlanda Bitar,NA,c2afb18a6777dde33054be96cb178348ac40e17b,Minneapolis School of Anesthesia,NA,NA,NA,0000-0000-0000-0024,24,FALSE
Elin Coffel,NA,960b5de518fee0c1be113cc1e628fa920b3182ba,Buffalo Public Schools Adult Education Division,NA,NA,NA,0000-0000-0000-0025,25,FALSE
Melany Foots,NA,bf0179bcfd93aa93f14126ce262d11e32327616d,Dongguk University - Los Angeles,NA,NA,NA,0000-0000-0000-0026,26,FALSE
Margarite Brine,NA,cbfa2e3a65cdb41186f1aadd1f41fc15c758a3dd,Wood Tobe-Coburn School,NA,NA,NA,0000-0000-0000-0027,27,FALSE
Jodee Swonke,NA,5aea9df64158c65370ec87b5c0fb2dfd8802d0f2,Kishwaukee College,NA,NA,NA,0000-0000-0000-0028,28,FALSE
Wyatt Bretthauer,NA,ce6defb8246041a6a9dea0afadaa7af0b9979437,Marietta College,NA,NA,NA,0000-0000-0000-0029,29,FALSE
Leann Sinnett,NA,0645ed8efe4f7ecea9823021e9d30ed4057c09eb,Tulare Adult School,NA,NA,NA,0000-0000-0000-0030,30,FALSE
Prudence Fullem,NA,0a5375e94da790dfdc537e177b3df6ce355c594b,Black Hawk College,NA,NA,NA,0000-0000-0000-0031,31,FALSE
